Москва,sale,flat,8,29,2,69.1,-1,0,31095000,Якиманка,Мытная ,40к3,Шаболовская,Sky House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,27,2,55.3,-1,0,19419590,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,10,32,2,64.4,-1,0,51000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,16,34,2,56.1,-1,0,36913800,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,hideOUT,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,21,2,64.76,-1,0,68500000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,36,2,68.6,-1,0,48137992,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,6,7,2,96.0,-1,0,260000000,Хамовники, Льва Толстого,23к7с3,Парк Культуры,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,25,35,3,137.6,-1,0,70000000,Щукино,Авиационная ,79К1,Щукинская,Алые Паруса,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,27,1,45.7,-1,0,21798900,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,9,12,2,99.0,-1,0,96750000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,6,5,247.7,-1,0,285000000,Пресненский,Никитский бульвар,15/16,Арбатская,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,6,41,2,64.8,-1,0,32937840,Даниловский,Большая Тульская ,10С5,Тульская,Мангазея на Тульской,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,22,31,3,83.0,-1,0,52000000,Раменки, Лобачевского,120к1,Аминьевская,Крылья,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,16,17,2,54.7,-1,0,12700000,, Летчика Грицевца,8,Пыхтино,Солнцево парк,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,7,8,2,121.8,-1,0,141031579,Арбат, Арбат,24,Смоленская,Turandot Residences,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,10,29,4,156.4,-1,0,63650000,Якиманка,Мытная ,40к3,Шаболовская,Sky House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,11,11,5,179.2,-1,0,104000000,Басманный,Старая Басманная ,10С5,Курская,KAZAKOV Grand Loft,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,8,9,1,57.6,-1,0,117936000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,29,4,144.6,-1,0,57840000,Якиманка,Мытная ,40к3,Шаболовская,Sky House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,2,5,5,141.2,-1,0,116000000,Мещанский,Последний переулок,5С1,Сухаревская,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,10,13,2,50.0,-1,0,29946000,Замоскворечье,Большой Строченовский переулок,9,Павелецкая,Резиденции Замоскворечье,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,29,4,152.8,-1,0,61120000,Якиманка,Мытная ,40к3,Шаболовская,Sky House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,5,4,300.0,-1,0,495000000,Хамовники,Нащокинский переулок,7,Кропоткинская,Академия,Нет информации,Не указано,Не указано,Не указано,Не указано
